ARI,ci_high,ci_low,exp_name,group,k,metric,mode,model,n,rate
5,0.7025980656306634,0.6089193732101674,JARI9-baseline,Correct,257,score_eps1,RR,GPT-4,391,0.6572890025575447
9,0.3384621848170265,0.2487138921662627,JARI9-baseline,Correct,114,score_exact,RR,GPT-4,391,0.2915601023017903
9,0.9666467547555972,0.9223176438877494,JARI9-baseline,Correct,371,score_eps1,RR,GPT-4,391,0.948849104859335
14,0.0776823561122506,0.0333532452444028,JARI9-baseline,Correct,20,score_exact,RR,GPT-4,391,0.0511508951406649
14,0.655788431146763,0.559487847726982,JARI9-baseline,Correct,238,score_eps1,RR,GPT-4,391,0.6086956521739131
5,0.7099410704773543,0.6167723409898584,JARI9-baseline,Wrong,260,score_exact,RR,GPT-4,391,0.6649616368286445
5,0.9878438842308536,0.956839080709227,JARI9-baseline,Wrong,382,score_eps1,RR,GPT-4,391,0.9769820971867008
9,0.7464463184467596,0.6562469561523632,JARI9-baseline,Wrong,275,score_exact,RR,GPT-4,391,0.7033248081841432
9,0.9823581474561264,0.947128844857572,JARI9-baseline,Wrong,379,score_eps1,RR,GPT-4,391,0.969309462915601
14,0.6976952572645182,0.6036915331587246,JARI9-baseline,Wrong,255,score_exact,RR,GPT-4,391,0.6521739130434783
14,0.9646061982812886,0.919292876153264,JARI9-baseline,Wrong,370,score_eps1,RR,GPT-4,391,0.9462915601023018
5,0.0223123395865017,0.0026127502206538,JARI14-baseline,Correct,3,score_exact,RR,GPT-4,391,0.0076726342710997
5,0.0837187040856798,0.0374475456885616,JARI14-baseline,Correct,22,score_eps1,RR,GPT-4,391,0.0562659846547314
9,0.1074181588666836,0.0542706845779099,JARI14-baseline,Correct,30,score_exact,RR,GPT-4,391,0.0767263427109974
9,0.5404459990819717,0.4418253661872495,JARI14-baseline,Correct,192,score_eps1,RR,GPT-4,391,0.4910485933503836
14,0.3543148055042434,0.2632532167318099,JARI14-baseline,Correct,120,score_exact,RR,GPT-4,391,0.3069053708439898
14,0.997387249779346,0.9776876604134984,JARI14-baseline,Correct,388,score_eps1,RR,GPT-4,391,0.9923273657289002
5,0.7318872255862364,0.6404141037601224,JARI14-baseline,Wrong,269,score_exact,RR,GPT-4,391,0.6879795396419437
5,0.9686732248428814,0.9253564980092592,JARI14-baseline,Wrong,372,score_eps1,RR,GPT-4,391,0.9514066496163684
9,0.7391741316775955,0.6483231702951453,JARI14-baseline,Wrong,272,score_exact,RR,GPT-4,391,0.6956521739130435
9,0.970684596542194,0.9284104505187406,JARI14-baseline,Wrong,373,score_eps1,RR,GPT-4,391,0.9539641943734016
14,0.6903299912584219,0.595860826538439,JARI14-baseline,Wrong,252,score_exact,RR,GPT-4,391,0.6445012787723785
14,0.9521113664618666,0.901395762719922,JARI14-baseline,Wrong,364,score_eps1,RR,GPT-4,391,0.9309462915601024
5,0.4223602216465964,0.3269062300181007,JARI5-baseline,Correct,146,score_exact,RR,GPT-4,391,0.3734015345268542
5,0.9261742607196556,0.8665489779566051,JARI5-baseline,Correct,352,score_eps1,RR,GPT-4,391,0.9002557544757033
9,0.4015304018802558,0.3072134561140894,JARI5-baseline,Correct,138,score_exact,RR,GPT-4,391,0.3529411764705882
9,0.9823581474561264,0.947128844857572,JARI5-baseline,Correct,379,score_eps1,RR,GPT-4,391,0.969309462915601
14,0.0223123395865017,0.0026127502206538,JARI5-baseline,Correct,3,score_exact,RR,GPT-4,391,0.0076726342710997
14,0.0431609192907731,0.0121561157691464,JARI5-baseline,Correct,9,score_eps1,RR,GPT-4,391,0.0230179028132992
5,0.5581746338127506,0.4595540009180284,JARI5-baseline,Wrong,199,score_exact,RR,GPT-4,391,0.5089514066496164
5,0.906143948270918,0.8409913725261965,JARI5-baseline,Wrong,343,score_eps1,RR,GPT-4,391,0.8772378516624041
9,0.7415998447959651,0.6509627813855698,JARI5-baseline,Wrong,273,score_exact,RR,GPT-4,391,0.6982097186700768
9,0.9842197357785264,0.950332580743966,JARI5-baseline,Wrong,380,score_eps1,RR,GPT-4,391,0.9718670076726342
14,0.7172704277683492,0.6246389563252458,JARI5-baseline,Wrong,263,score_exact,RR,GPT-4,391,0.6726342710997443
14,0.9327528555725604,0.8751663557300822,JARI5-baseline,Wrong,355,score_eps1,RR,GPT-4,391,0.907928388746803
5,0.2527976428628136,0.1722880594390677,JARI9-baseline,Correct,82,score_exact,RR,GPT-4,391,0.2097186700767263
5,0.7025980656306634,0.6089193732101674,JARI9-baseline,Correct,257,score_eps1,RR,GPT-4,391,0.6572890025575447
9,0.3384621848170265,0.2487138921662627,JARI9-baseline,Correct,114,score_exact,RR,GPT-4,391,0.2915601023017903
9,0.9666467547555972,0.9223176438877494,JARI9-baseline,Correct,371,score_eps1,RR,GPT-4,391,0.948849104859335
14,0.0776823561122506,0.0333532452444028,JARI9-baseline,Correct,20,score_exact,RR,GPT-4,391,0.0511508951406649
14,0.655788431146763,0.559487847726982,JARI9-baseline,Correct,238,score_eps1,RR,GPT-4,391,0.6086956521739131
5,0.7099410704773543,0.6167723409898584,JARI9-baseline,Wrong,260,score_exact,RR,GPT-4,391,0.6649616368286445
5,0.9878438842308536,0.956839080709227,JARI9-baseline,Wrong,382,score_eps1,RR,GPT-4,391,0.9769820971867008
9,0.7464463184467596,0.6562469561523632,JARI9-baseline,Wrong,275,score_exact,RR,GPT-4,391,0.7033248081841432
9,0.9823581474561264,0.947128844857572,JARI9-baseline,Wrong,379,score_eps1,RR,GPT-4,391,0.969309462915601
14,0.6976952572645182,0.6036915331587246,JARI9-baseline,Wrong,255,score_exact,RR,GPT-4,391,0.6521739130434783
14,0.9646061982812886,0.919292876153264,JARI9-baseline,Wrong,370,score_eps1,RR,GPT-4,391,0.9462915601023018
5,0.0223123395865017,0.0026127502206538,JARI14-baseline,Correct,3,score_exact,RR,GPT-4,391,0.0076726342710997
5,0.0837187040856798,0.0374475456885616,JARI14-baseline,Correct,22,score_eps1,RR,GPT-4,391,0.0562659846547314
9,0.1074181588666836,0.0542706845779099,JARI14-baseline,Correct,30,score_exact,RR,GPT-4,391,0.0767263427109974
9,0.5404459990819717,0.4418253661872495,JARI14-baseline,Correct,192,score_eps1,RR,GPT-4,391,0.4910485933503836
14,0.3543148055042434,0.2632532167318099,JARI14-baseline,Correct,120,score_exact,RR,GPT-4,391,0.3069053708439898
14,0.997387249779346,0.9776876604134984,JARI14-baseline,Correct,388,score_eps1,RR,GPT-4,391,0.9923273657289002
5,0.7318872255862364,0.6404141037601224,JARI14-baseline,Wrong,269,score_exact,RR,GPT-4,391,0.6879795396419437
5,0.9686732248428814,0.9253564980092592,JARI14-baseline,Wrong,372,score_eps1,RR,GPT-4,391,0.9514066496163684
9,0.7391741316775955,0.6483231702951453,JARI14-baseline,Wrong,272,score_exact,RR,GPT-4,391,0.6956521739130435
9,0.970684596542194,0.9284104505187406,JARI14-baseline,Wrong,373,score_eps1,RR,GPT-4,391,0.9539641943734016
14,0.6903299912584219,0.595860826538439,JARI14-baseline,Wrong,252,score_exact,RR,GPT-4,391,0.6445012787723785
14,0.9521113664618666,0.901395762719922,JARI14-baseline,Wrong,364,score_eps1,RR,GPT-4,391,0.9309462915601024
5,0.4223602216465964,0.3269062300181007,JARI5-baseline,Correct,146,score_exact,RR,GPT-4,391,0.3734015345268542
5,0.9261742607196556,0.8665489779566051,JARI5-baseline,Correct,352,score_eps1,RR,GPT-4,391,0.9002557544757033
9,0.4015304018802558,0.3072134561140894,JARI5-baseline,Correct,138,score_exact,RR,GPT-4,391,0.3529411764705882
9,0.9823581474561264,0.947128844857572,JARI5-baseline,Correct,379,score_eps1,RR,GPT-4,391,0.969309462915601
14,0.0223123395865017,0.0026127502206538,JARI5-baseline,Correct,3,score_exact,RR,GPT-4,391,0.0076726342710997
14,0.0431609192907731,0.0121561157691464,JARI5-baseline,Correct,9,score_eps1,RR,GPT-4,391,0.0230179028132992
5,0.5581746338127506,0.4595540009180284,JARI5-baseline,Wrong,199,score_exact,RR,GPT-4,391,0.5089514066496164
5,0.906143948270918,0.8409913725261965,JARI5-baseline,Wrong,343,score_eps1,RR,GPT-4,391,0.8772378516624041
9,0.7415998447959651,0.6509627813855698,JARI5-baseline,Wrong,273,score_exact,RR,GPT-4,391,0.6982097186700768
9,0.9842197357785264,0.950332580743966,JARI5-baseline,Wrong,380,score_eps1,RR,GPT-4,391,0.9718670076726342
14,0.7172704277683492,0.6246389563252458,JARI5-baseline,Wrong,263,score_exact,RR,GPT-4,391,0.6726342710997443
14,0.9327528555725604,0.8751663557300822,JARI5-baseline,Wrong,355,score_eps1,RR,GPT-4,391,0.907928388746803
5,0.2527976428628136,0.1722880594390677,JARI9-baseline,Correct,82,score_exact,RR,GPT-4,391,0.2097186700767263
5,0.7025980656306634,0.6089193732101674,JARI9-baseline,Correct,257,score_eps1,RR,GPT-4,391,0.6572890025575447
9,0.3384621848170265,0.2487138921662627,JARI9-baseline,Correct,114,score_exact,RR,GPT-4,391,0.2915601023017903
9,0.9666467547555972,0.9223176438877494,JARI9-baseline,Correct,371,score_eps1,RR,GPT-4,391,0.948849104859335
14,0.0776823561122506,0.0333532452444028,JARI9-baseline,Correct,20,score_exact,RR,GPT-4,391,0.0511508951406649
14,0.655788431146763,0.559487847726982,JARI9-baseline,Correct,238,score_eps1,RR,GPT-4,391,0.6086956521739131
5,0.7099410704773543,0.6167723409898584,JARI9-baseline,Wrong,260,score_exact,RR,GPT-4,391,0.6649616368286445
5,0.9878438842308536,0.956839080709227,JARI9-baseline,Wrong,382,score_eps1,RR,GPT-4,391,0.9769820971867008
9,0.7464463184467596,0.6562469561523632,JARI9-baseline,Wrong,275,score_exact,RR,GPT-4,391,0.7033248081841432
9,0.9823581474561264,0.947128844857572,JARI9-baseline,Wrong,379,score_eps1,RR,GPT-4,391,0.969309462915601
14,0.6976952572645182,0.6036915331587246,JARI9-baseline,Wrong,255,score_exact,RR,GPT-4,391,0.6521739130434783
14,0.9646061982812886,0.919292876153264,JARI9-baseline,Wrong,370,score_eps1,RR,GPT-4,391,0.9462915601023018
5,0.02231233958650174,0.00261275022065385,JARI14-baseline,Correct,3,score_exact,RR,GPT-4,391,0.0076726342710997444
5,0.08371870408567987,0.037447545688561665,JARI14-baseline,Correct,22,score_eps1,RR,GPT-4,391,0.056265984654731455
9,0.1074181588666836,0.05427068457790993,JARI14-baseline,Correct,30,score_exact,RR,GPT-4,391,0.07672634271099744
9,0.5404459990819717,0.4418253661872495,JARI14-baseline,Correct,192,score_eps1,RR,GPT-4,391,0.49104859335038364
14,0.3543148055042434,0.26325321673180996,JARI14-baseline,Correct,120,score_exact,RR,GPT-4,391,0.3069053708439898
14,0.9973872497793461,0.9776876604134983,JARI14-baseline,Correct,388,score_eps1,RR,GPT-4,391,0.9923273657289002
5,0.7318872255862364,0.6404141037601224,JARI14-baseline,Wrong,269,score_exact,RR,GPT-4,391,0.6879795396419437
5,0.9686732248428814,0.9253564980092591,JARI14-baseline,Wrong,372,score_eps1,RR,GPT-4,391,0.9514066496163683
9,0.7391741316775955,0.6483231702951453,JARI14-baseline,Wrong,272,score_exact,RR,GPT-4,391,0.6956521739130435
9,0.9706845965421939,0.9284104505187406,JARI14-baseline,Wrong,373,score_eps1,RR,GPT-4,391,0.9539641943734015
14,0.6903299912584219,0.595860826538439,JARI14-baseline,Wrong,252,score_exact,RR,GPT-4,391,0.6445012787723785
14,0.9521113664618666,0.9013957627199221,JARI14-baseline,Wrong,364,score_eps1,RR,GPT-4,391,0.9309462915601023
