ARI,ci_high,ci_low,exp_name,group,k,metric,mode,model,n,rate
14,0.6903299912584219,0.595860826538439,JARI14-baseline,Wrong,252,score_exact,RR,GPT-4,391,0.6445012787723785
14,0.9521113664618666,0.901395762719922,JARI14-baseline,Wrong,364,score_eps1,RR,GPT-4,391,0.9309462915601024
14,0.0223123395865017,0.0026127502206538,JARI5-baseline,Correct,3,score_exact,RR,GPT-4,391,0.0076726342710997
14,0.0431609192907731,0.0121561157691464,JARI5-baseline,Correct,9,score_eps1,RR,GPT-4,391,0.0230179028132992
14,0.7172704277683492,0.6246389563252458,JARI5-baseline,Wrong,263,score_exact,RR,GPT-4,391,0.6726342710997443
14,0.9327528555725604,0.8751663557300822,JARI5-baseline,Wrong,355,score_eps1,RR,GPT-4,391,0.907928388746803
14,0.0776823561122506,0.0333532452444028,JARI9-baseline,Correct,20,score_exact,RR,GPT-4,391,0.0511508951406649
14,0.655788431146763,0.559487847726982,JARI9-baseline,Correct,238,score_eps1,RR,GPT-4,391,0.6086956521739131
14,0.6976952572645182,0.6036915331587246,JARI9-baseline,Wrong,255,score_exact,RR,GPT-4,391,0.6521739130434783
14,0.9646061982812886,0.919292876153264,JARI9-baseline,Wrong,370,score_eps1,RR,GPT-4,391,0.9462915601023018
14,0.3543148055042434,0.26325321673180996,JARI14-baseline,Correct,120,score_exact,RR,GPT-4,391,0.3069053708439898
14,0.9973872497793461,0.9776876604134983,JARI14-baseline,Correct,388,score_eps1,RR,GPT-4,391,0.9923273657289002
14,0.6903299912584219,0.595860826538439,JARI14-baseline,Wrong,252,score_exact,RR,GPT-4,391,0.6445012787723785
14,0.9521113664618666,0.9013957627199221,JARI14-baseline,Wrong,364,score_eps1,RR,GPT-4,391,0.9309462915601023
